game_id,local_title,bgg_id,bgg_primary_name,bgg_item_type,proposed_is_expansion,current_url_kind,has_expansion_category,current_is_expansion,confidence,requires_manual_review,reason
1ba96d1c-208a-421d-9930-93bcb4d45683,Heroes of Might and Magic III: The Board Game – Stretch Goals Regular,467792,Heroes of Might and Magic III: The Board Game – Stretch Goals Regular,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
04e752a3-019b-4588-99b0-d5f4b886e735,Heroes of Might and Magic III: The Board Game – Stronghold Expansion,423894,Heroes of Might and Magic III: The Board Game – Stronghold Expansion,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
bc5902a4-c1ce-4d15-a33f-d05008e121cd,Heroes of Might and Magic III: The Board Game – Tower Expansion,411654,Heroes of Might and Magic III: The Board Game – Tower Expansion,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
0bc3c4f7-3ce1-4b3e-ba1d-c19f2face7cd,Hitster,318243,Hitster,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
524d4261-8d47-42d7-80ae-e03916607608,Jeju Island,183643,Jeju Island,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
8bb9b2ed-67b6-44c8-ac9d-e1e0f514556d,Karak II,393530,Karak II,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
57209b1c-f232-4957-801c-525169bf2da0,Karty Dżentelmenów,188347,Karty Dżentelmenów,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
43e23893-d1b0-4054-b1e0-d3575c610cd1,Letters from Whitechapel,59959,Letters from Whitechapel,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
20253cdb-627e-4f90-9a0e-bf75314e9c15,Mansions of Madness: Second Edition,205059,Mansions of Madness: Second Edition,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
ce6a8dd4-5cf2-4884-a991-35bcd4ef27a6,Mansions of Madness: Second Edition – Beyond the Threshold: Expansion,210674,Mansions of Madness: Second Edition – Beyond the Threshold: Expansion,boardgameexpansion,true,boardgame,true,,medium,true,"BGG mówi boardgameexpansion, mimo linku /boardgame/"
e836cd70-c176-4390-93f7-c8b77c44336d,Mansions of Madness: Second Edition – Path of the Serpent: Expansion,283094,Mansions of Madness: Second Edition – Path of the Serpent: Expansion,boardgameexpansion,true,boardgame,true,,medium,true,"BGG mówi boardgameexpansion, mimo linku /boardgame/"
2e916182-b9f8-4340-9009-0a10e9dc925b,Mansions of Madness: Second Edition – Streets of Arkham: Expansion,229987,Mansions of Madness: Second Edition – Streets of Arkham: Expansion,boardgameexpansion,true,boardgame,true,,medium,true,"BGG mówi boardgameexpansion, mimo linku /boardgame/"
1c109976-4196-4873-bb2e-a7841f4e9a04,Mechs vs. Minions,209010,Mechs vs. Minions,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
5a1040a9-54bc-4d57-ba7d-56c89a6d12a7,Merchants Cove,277700,Merchants Cove,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
f3b41f71-869f-49d7-9379-7434059d7ecd,Merchants Cove: Master Craft,364640,Merchants Cove: Master Craft,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
ae866a53-871a-4449-aeff-c25a380a0837,Merchants Cove: The Dragon Rancher,295361,Merchants Cove: The Dragon Rancher,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
02173c1d-e52b-4d30-b92b-1d68450d3fcb,Merchants Cove: The Innkeeper,286985,Merchants Cove: The Innkeeper,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
b3ea1f35-2de1-491c-91e8-c96f163771c8,Merchants Cove: The Oracle,286986,Merchants Cove: The Oracle,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
9c8709f8-f1f8-40d8-acf5-df322b3a7756,Monopoly: Fallout Collector's Edition,183508,Monopoly: Fallout Collector's Edition,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
752f0258-e3d6-4a15-b55d-9c41dfdf8c4e,Nemesis,167355,Nemesis,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
98a56254-191f-4d06-b4f1-2cebc153d07f,Nemesis: Lockdown,310100,Nemesis: Lockdown,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
4fd75e3b-3f04-4acd-b42d-366a99c811c4,Nemesis: Retaliation,381248,Nemesis: Retaliation,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
e5b36929-c1df-46c2-ae9e-53b00183e3a7,Northgard: Uncharted Lands,274124,Northgard: Uncharted Lands,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
0c9a5916-8215-436e-9589-f756ff541f11,Nova Aetas Renaissance,311823,Nova Aetas Renaissance,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
938f40a0-6f7a-4bcb-befd-99cc7a3f358d,Pandemic,30549,Pandemic,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
f74449bd-ece9-4759-97c1-d91126f87da5,Pandemic,30549,Pandemic,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
a1eeee58-5b30-4f43-a278-3f4a18169a8f,Patchwork,163412,Patchwork,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
6090d8df-8806-40c5-b1ba-e7ed33aa7203,Planet Unknown,258779,Planet Unknown,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
1c4d467d-af85-4653-b8e9-5404b7cd8d25,Planet Unknown: Supermoon,393509,Planet Unknown: Supermoon,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
c7078771-ef44-4c1f-b8e7-47d2a5d61d67,Puerto Rico 1897: Special Edition,415843,Puerto Rico 1897: Special Edition,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
30cfb654-2558-45b2-948f-59f43702ab85,Robinson Crusoe: Adventures on the Cursed Island,121921,Robinson Crusoe: Adventures on the Cursed Island,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
3c6c2992-6211-427e-8a4f-ecf7d3cd329c,Roll Player,169426,Roll Player,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
999ebdeb-25fd-4ce6-ae82-cf521ea9b41a,Roll Player: Fiends & Familiars,255601,Roll Player: Fiends & Familiars,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
aa96b5a2-9396-49cb-b45c-b69a0811aebb,Santorini,194655,Santorini,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
01783034-9b5c-4a9a-acd6-2b9bdaf2fac5,Scythe,169786,Scythe,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
227e9e00-041a-4acc-8ae5-0db045be8487,SETI: Search for Extraterrestrial Intelligence,418059,SETI: Search for Extraterrestrial Intelligence,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
bae6e0c5-4808-4546-929d-0017bab64e14,SETI: Search for Extraterrestrial Intelligence,418059,SETI: Search for Extraterrestrial Intelligence,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
d1830950-09c2-42d2-a8f4-c5838987de19,Speakeasy,375459,Speakeasy,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
